Index,Title,URL,Author,Year
13.0,Konzeption einer Serviceinfrastruktur für den Informationsfluss zwischen verteilten Systemen,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Sommermeier, Ralph",2009.0
14.0,Supporting the Evolution of Federated Systems in Web Engineering,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Meinecke, Johannes",2009.0
15.0,Web Engineering,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Gaedke, Martin et al.",2009.0
16.0,A Descriptive Approach for the Lifecycle Support of Distributed Web-based Systems,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Majer, Frederic et al.",2008.0
17.0,A Domain-specific Language for the Model-driven Construction of Advanced Web-based Dialogs,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Freudenstein, Patrick et al.",2008.0
18.0,Components for Growing the RESTful Enterprise,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Andreas et al.",2008.0
19.0,"Eighth International Conference on Web Engineering, ICWE 2008, Yorktown Heights New York, July 14-15, 2008 : Workshop-Proceedings",https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Gaedke, Martin et al.",2008.0
20.0,Environment-Awareness : Quantitative Processing of Context Changes,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Andreas et al.",2008.0
21.0,Identifying Security Aspects In Web-based Federations,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Andreas et al.",2008.0
22.0,Unterstützung der Evolution Föderativer Systeme im Web Engineering,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Meinecke, Johannes (Dipl.-Inform.)",2008.0
23.0,"Web Engineering : Creating Solutions in the Age of Emotion, SOA, and Web 2.0",https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Gaedke, Martin",2008.0
24.0,Web Engineering Revisited,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Wilde, Erik et al.",2008.0
25.0,WebComposition/DGS: Dynamic Service Components for Web 2.0 Development,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Gaedke, Martin et al.",2008.0
26.0,WebComposition/DGS: Supporting Web2.0 Developments With Data Grids,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Andreas et al.",2008.0
27.0,Component-Based Content Linking Beyond the Application,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Meinecke, Johannes et al.",2007.0
28.0,Construction by Linking: The Linkbase Method,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Meinecke, Johannes et al.",2007.0
29.0,Editorial - Journal of Web Engineering - 6. 2007,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Gaedke, Martin",2007.0
30.0,The Web as an Application Platform,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,Martin Gaedke et al.,2007.0
